,2009,2010,2011,2012,2013,2014,2015,2016,2017
TOTAL,3321133.9,3748953.5,4145332,4261232.7,4385865.9,4424424.5,3239238.7,3273469.3,4097065.7
CIS countries,1041770.3,1142160.2,1208823.7,1334524.7,1299948.1,1363088.5,1096884.5,1120716.1,1347813.3
Russian Federation,792241.6,835271.7,890873.2,1057416.4,1025159.7,1122876,942384.6,983835.4,1173233.7
Ukraine,201948.4,229924.3,232432.1,215558.3,226509.2,201636,124619.7,101791.1,115529.1
Kazakhstan,3216.4,11894.4,25335.9,8896.5,740.3,556.3,378.8,678.8,4044.6
Belarus,24605.8,31909.3,29574.5,33588.8,40874.8,31031.5,25659.8,23299.3,39064.9
Uzbekistan,3208.4,5710.9,2847.9,2783.5,1560.4,1219.3,1646.2,1559.6,1399.9
Turkmenistan,14322.7,25760.2,25460.9,14166.4,2665.4,1192.2,499.3,6229.3,10217.7
"Moldova, Republic of",1852.4,1443.6,1725.9,1411.1,1270.2,3573.4,1087.8,1011.4,1274.7
Other CIS countries,374.6,245.9,573.3,2783.5,1168,1003.9,608.4,2311.2,3048.7
EU countires,898898.9,1034978.4,1169330.4,1127136.8,1159143.3,1134753.5,780301,739308.8,903807.4
Austria,57293.2,56576.8,47706,39839.4,56266.2,72083.7,16357.5,16998,20974.3
Belgium,58531.4,71410.4,64560,73804.5,73372.3,89152.9,49460.7,58011.1,43311.5
Bulgaria,86258.6,112382.7,102214.4,86482.4,68299.9,25532.6,26042.9,34001.5,39966.8
Croatia,1103.9,8033,1485.9,2758.8,2650.4,1350.7,2061.1,1403.9,841.4
Cyprus,1701.9,1592.4,3438.2,2303.2,1628.5,1842.9,1190.6,2209.6,1521.3
Czech Republic,14580.1,18520,24096.1,20375,21184.7,19819.2,19940.4,14940.3,26749
Denmark,6621,6703.3,6230.5,6392.1,5537.5,6179.2,7853.5,5605.4,5546.8
Estonia,386.5,389.6,1709,8762.9,1898.5,1211.3,1661.4,9920.9,14126.4
Finland,30348.7,11147.3,14330.1,19743.4,23704.4,28540.1,15800.7,17924.5,23730.8
France,73539.4,76706.6,82456.2,67528.5,64044.5,79826,65139,52968.1,73539
Germany,176046,210712.1,245087.5,265236.9,280198.3,283255,202075.6,186426,201151.1
Greece,30825.7,50895.3,60722.8,28934,22086.6,15526,16666.9,18218.5,48963.9
Hungary,13350.7,18075.4,24614.2,17589.8,15262.5,18544.6,12330.7,10888.1,12879.3
Ireland,2677.7,4183.2,4972.5,6629.3,6626.3,8016.6,7347.7,10181,9840.5
Italy,113696.8,122154.6,169615.6,168782.8,164221.9,179567.5,148489.6,128772.3,158025.1
Latvia,1456.2,2590.8,2499.9,1872.9,1800.2,3715.8,3851.2,1542.3,2732.5
Lithuania,975.5,2089.2,2172.5,1911.5,1896.1,3690.9,3985,4289.5,5602
Luxembourg,418.3,494.3,479.7,609.5,531.7,1009.1,525.7,801.2,715.2
Malta,3.3,11.5,6.4,14.5,35,90.7,138.8,233.7,235.8
Netherlands,26655,23491.5,37075.9,37822.9,36120,48867.7,29480.5,28571.5,32911.7
Poland,33891.7,30347.1,35531.8,41792,43076.1,47198.2,34005.5,36139.4,49302.2
Portugal,1847.7,3940,5304.3,6011.2,9123.3,8409.4,8326,5856.9,6466.4
Romania,72797.6,85720.2,105049.2,87843,118080,39467.2,17636.1,15083.2,8946.8
Slovakia,10279,7431.6,10583.3,8066.9,7605,9515.9,6376.7,4394.4,9070.9
Slovenia,9591.3,7732.8,8882.3,8357.4,8287.5,10658.2,6477.6,7273.3,8125.7
Spain,18993.1,24649.4,40257.3,48445.9,53069.9,50491.1,26726.3,25352.4,35216.9
Sweden,24662.1,39192.3,21356,29405.7,23340.4,25498.9,23778.1,13594.4,28593.3
United Kingdom,30366.4,37805.4,46892.8,39820.7,49195.5,55692.3,26575.4,27707.1,34720.7
Other countries,1380464.7,1571815,1767177.9,1799571.3,1926774.5,1926582.4,1362053.2,1413444.5,1845445
China,293114.4,412916.5,414736.5,410736.5,400197.9,433109.3,327209.8,367551.9,477701.5
United States,120760.8,110816,147372.1,143074.2,137445.2,132018.5,107646.3,82948.7,133446.1
"Iran, Islamic Republic of",162398,199884.7,216792.3,219413.1,198492,206489.7,198361.4,163997.7,174698.2
Turkey,177648.8,210381.2,240248.2,213468.3,210702.2,232268.8,136958.2,163648.2,222920.8
Japan,76184.9,83301.8,72375,98741.2,96266.8,113668.8,57605.8,51661.4,81021.2
"Korea, Republic of",89095.5,72754.9,57569,50498.6,53811,40991.7,32434.7,17547.7,22069.8
Israel,10471.3,14044.2,27400.6,57944.8,53868.2,35854,7819.1,5189.6,7319.2
Brazil,54741.4,51778.7,83344.6,93121.2,87366.5,91060.3,61419.4,52958.8,62571.4
