MARZ,CATEGORY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Republic of Armenia,"Number of retail trade organizations, total (unit)",15151,16171,18202,20071,19527,19861,19023,17091,16642,17765,18108,17617
Republic of Armenia,"Retail trade turnover, total (ths. drams)",820816.7,934379.6,1059571.2,1065539.1,1162263.6,1302252.1,1379500.3,1452528.3,1466090.6,1313998.1,1243637,1335742.8
Republic of Armenia,number of shops(unit),8195,9283,11119,13178,13033,13575,14163,12652,12786,13971,14486,14296
Republic of Armenia,trade turnover of shops(ths. drams),382237.1,475051.3,609957,628293.6,700458.9,830966.7,898640.7,1026329,1080149.4,968995.2,963217.3,1064219.8
Republic of Armenia,number of consumer goods markets(unit),66,67,66,52,54,53,53,65,63,64,55,53
Republic of Armenia, rade turnover of consumer goods markets(ths. drams),273041.6,260891.6,213381.3,166815.5,172064.1,159967.3,153093.8,101128.6,85916.8,85609.3,81229.7,69099.6
Republic of Armenia,number of agricultural products markets(unit),39,39,34,30,30,29,24,23,22,22,19,19
Republic of Armenia,trade turnover of agricultural products markets(ths. drams),22577.7,23535.8,23436.4,21895.4,24337.1,23035.6,19568.2,19611.5,20264.4,20525.6,18556.5,20492.8
Republic of Armenia,number of kioks(unit),6333,6201,6413,6215,5796,5599,4148,3744,3182,2834,2662,2369
Republic of Armenia,trade turnover of kioks(ths. drams),43048.6,43224.8,40283.3,41306.8,42462.6,44844.4,39025.2,32707.4,30855.2,29766.8,27504.4,27751.2
Republic of Armenia,number of other trade units(unit),518,581,570,596,614,605,635,607,589,874,886,880
Republic of Armenia,trade turnover of other trade units(ths. drams),99911.7,131676.1,172513.2,207227.8,222940.9,243438.1,269172.4,272751.8,248904.8,209101.2,153129.1,154179.4
Republic of Armenia,Average per capita trade turnover(drams),254825,289595.4,327634.9,328495,381720.8,430084.2,456168.9,480651.3,486459.2,437328.8,415612.4,448326.1
Yerevan city,"Number of retail trade organizations, total (unit)",8452,9357,10498,11937,11210,11557,10988,9539,9124,9513,9735,9251
Yerevan city,"Retail trade turnover, total (ths. drams)",706078.4,792478.2,894902.2,896198.4,976756.2,1091077.5,1165925.8,1218045.8,1211176.3,1004305.8,920522.7,989557.3
Yerevan city,number of shops(unit),5474,6445,7589,9118,8772,9224,9781,8368,8149,8502,8729,8278
Yerevan city,trade turnover of shops(ths. drams),344141.5,427671.5,542956.6,558580.6,617537.3,733285.7,804179.6,925105.6,964833.5,829299,813218.1,879126.3
Yerevan city,number of consumer goods markets(unit),24,21,19,18,26,26,27,32,32,32,29,28
Yerevan city, rade turnover of consumer goods markets(ths. drams),252961.1,242135.4,195205.3,152393.5,156714.5,138362.8,129617.2,77666.8,66356.3,62932.1,38180.7,36898.3
Yerevan city,number of agricultural products markets(unit),11,11,11,11,11,11,9,8,7,7,5,5
Yerevan city,trade turnover of agricultural products markets(ths. drams),11382.3,10640.7,12051.2,12951,13156.7,13927.3,11239.6,10149.8,9972.4,8739.5,7796.1,7660.3
Yerevan city,number of kioks(unit),2807,2749,2743,2643,2273,2171,1036,1005,819,774,760,733
Yerevan city,trade turnover of kioks(ths. drams),26839,26137.5,23058,24082.3,24609,26109.5,21476.9,15446.2,14490.6,13357.7,13102.2,14010.6
Yerevan city,number of other trade units(unit),136,131,136,147,128,125,135,126,117,198,212,207
Yerevan city,trade turnover of other trade units(ths. drams),70754.5,85893.1,121631.1,148191,164738.7,179392.2,199412.5,189677.4,155523.5,89977.5,48225.6,51861.8
Yerevan city,Average per capita trade turnover(drams),639332.1,716267.4,806508.8,804486.9,915422.9,1026413.5,1096207,1141240.3,1132046.3,936328.4,856539.2,919065
Yerevan city,Per capita trade turnover compared to average republican(%),250.9,247.3,246.2,244.9,239.8,238.7,240.3,237.4,232.7,214.1,206.1,205
Aragatsotn Marz,"Number of retail trade organizations, total (unit)",232,306,295,379,368,430,435,437,506,562,598,601
Aragatsotn Marz,"Retail trade turnover, total (ths. drams)",4512.8,5145,6104.4,7245.9,7998.9,10418.6,12170.8,14558.3,17016.2,16778.8,15014.6,16916.2
Aragatsotn Marz,number of shops(unit),90,100,84,140,110,134,127,128,190,250,285,299
Aragatsotn Marz,trade turnover of shops(ths. drams),2872.9,3407.4,3741.7,3522.9,3191.2,3696.1,4324.6,4469.6,6545.2,9344.2,6738.6,8650.6
Aragatsotn Marz,number of consumer goods markets(unit),3,3,3,2,1,1,1,1,2,2,2,2
Aragatsotn Marz, rade turnover of consumer goods markets(ths. drams),271.3,275.9,132.4,127.2,130.1,169.3,322,342,684.2,580.1,573.2,485.2
Aragatsotn Marz,number of agricultural products markets(unit),4,4,4,3,3,3,2,2,2,2,2,2
Aragatsotn Marz,trade turnover of agricultural products markets(ths. drams),127.2,133.8,113.2,118.5,141.6,199.2,173.7,492.6,53.3,50.7,57.2,58.2
Aragatsotn Marz,number of kioks(unit),101,163,166,196,201,229,238,238,243,251,251,241
Aragatsotn Marz,trade turnover of kioks(ths. drams),254.6,441.2,493.7,495.8,354.5,639.3,701.6,686.2,689.3,698.3,692.8,695
Aragatsotn Marz,number of other trade units(unit),34,36,38,38,53,63,67,68,69,57,58,57
Aragatsotn Marz,trade turnover of other trade units(ths. drams),986.8,886.7,1623.4,2981.5,4181.5,5714.7,6648.9,8567.9,9044.2,6105.5,6952.8,7027.2
Aragatsotn Marz,Average per capita trade turnover(drams),32280.4,36697.6,43385.9,51280.3,59872,78217.7,91509.8,109708.4,129106.2,128474.7,116212.1,132364.6
Aragatsotn Marz,Per capita trade turnover compared to average republican(%),12.7,12.7,13.2,15.6,15.7,18.2,20.1,22.8,26.5,29.4,28,29.5
Ararat  Marz,"Number of retail trade organizations, total (unit)",777,830,1023,1155,1259,1281,1316,1172,1184,1446,1557,1623
Ararat  Marz,"Retail trade turnover, total (ths. drams)",11069.8,15361.8,15857.7,18303.9,18422.2,25180.6,26187,30052.8,29089.6,35970.7,38835.9,44540.3
Ararat  Marz,number of shops(unit),522,531,763,949,1053,1092,1127,1027,1037,1272,1381,1449
Ararat  Marz,trade turnover of shops(ths. drams),4552.7,6214.1,10432.9,10171.5,11563.8,13532.8,14973.6,16059.4,17726.9,21415.8,24118,28455.4
Ararat  Marz,number of consumer goods markets(unit),4,4,5,3,3,3,3,3,3,4,4,4
Ararat  Marz, rade turnover of consumer goods markets(ths. drams),1409,969.9,839.6,661.4,1586,4260.1,2460.8,2303,729.2,1252.3,2733.9,2795.4
Ararat  Marz,number of agricultural products markets(unit),3,3,2,1,1,1,1,1,1,1,1,1
Ararat  Marz,trade turnover of agricultural products markets(ths. drams),103.9,148.2,112.2,51.1,302.3,355.7,728.2,732.1,401.8,724.3,885,436.5
Ararat  Marz,number of kioks(unit),187,234,207,149,139,122,111,77,75,78,76,75
Ararat  Marz,trade turnover of kioks(ths. drams),1341.6,1356.6,1162.1,1085.4,992.1,905.8,894.7,1075.9,898.3,921.8,847.7,905
Ararat  Marz,number of other trade units(unit),61,58,46,53,63,63,74,64,68,91,95,94
Ararat  Marz,trade turnover of other trade units(ths. drams),3662.6,6673,3310.9,6334.5,3978,6126.2,7129.7,9882.4,9333.4,11656.5,10251.3,11948
Ararat  Marz,Average per capita trade turnover(drams),40312.5,55678.9,57248,65794,70448.2,96551.4,100333.3,115144.8,111668.3,138615.4,150177.5,172569.9
Ararat  Marz,Per capita trade turnover compared to average republican(%),15.8,19.2,17.5,20,18.5,22.4,22,24,23,31.7,36.1,38.5
Armavir  Marz,"Number of retail trade organizations, total (unit)",495,376,592,610,649,678,564,435,369,433,442,496
Armavir  Marz,"Retail trade turnover, total (ths. drams)",15249.7,22976.7,27587.8,30042.5,30519.8,29942.1,26734.2,29429.3,32161.3,50198.1,44963.3,43468.5
Armavir  Marz,number of shops(unit),85,80,106,141,190,208,211,181,175,208,223,263
Armavir  Marz,trade turnover of shops(ths. drams),1712,2309.1,4042,4445,5690.2,7546.9,8636.7,9281.8,10923.4,14290.8,14913.9,20507.5
Armavir  Marz,number of consumer goods markets(unit),3,3,3,3,4,4,3,4,4,3,3,3
